rank,player,team,position,pos_rank,tier,bye,ecr_vs_adp
138,Sam Darnold,SEA,QB,23,9,11.0,6.0
139,Jonathon Brooks,CAR,RB,45,9,5.0,-37.0
140,Tyjae Spears,TEN,RB,46,9,9.0,13.0
141,Dylan Sampson,CLE,RB,47,9,11.0,9.0
142,Chris Rodriguez Jr.,JAC,RB,48,9,7.0,-7.0
143,Isiah Pacheco,DET,RB,49,9,6.0,6.0
144,Cam Ward,TEN,QB,24,9,9.0,-4.0
145,Brenton Strange,JAC,TE,17,9,7.0,3.0
146,Alvin Kamara,NO,RB,50,9,8.0,25.0
147,Rashid Shaheed,SEA,WR,56,9,11.0,-10.0
148,Jerry Jeudy,CLE,WR,57,9,11.0,25.0
149,Oronde Gadsden II,LAC,TE,18,9,7.0,-10.0
150,Daniel Jones,IND,QB,25,9,13.0,-4.0
151,Jauan Jennings,MIN,WR,58,9,6.0,3.0
152,Omar Cooper Jr.,NYJ,WR,59,9,13.0,6.0
153,Denzel Boston,CLE,WR,60,9,11.0,3.0
154,Bryce Young,CAR,QB,26,9,5.0,5.0
155,Hunter Henry,NE,TE,19,9,11.0,2.0
156,Keaton Mitchell,LAC,RB,51,9,7.0,-20.0
157,Travis Hunter,JAC,WR,61,10,7.0,11.0
158,Jonah Coleman,DEN,RB,52,10,10.0,3.0
159,Brian Robinson Jr.,ATL,RB,53,10,11.0,11.0
160,Houston Texans,HOU,DST,1,10,8.0,39.0
161,Chig Okonkwo,WAS,TE,20,10,7.0,-20.0
162,Jalen McMillan,TB,WR,62,10,10.0,-19.0
163,Adonai Mitchell,NYJ,WR,63,10,13.0,12.0
164,Dalton Schultz,HOU,TE,21,10,8.0,12.0
165,Braelon Allen,NYJ,RB,54,10,13.0,22.0
166,Tre' Harris,LAC,WR,64,10,7.0,-3.0
167,Tank Bigsby,PHI,RB,55,10,10.0,-3.0
168,Tre Tucker,LV,WR,65,10,13.0,-17.0
169,Kayshon Boutte,NE,WR,66,10,11.0,43.0
170,James Conner,ARI,RB,56,10,14.0,51.0
171,Troy Franklin,DEN,WR,67,10,10.0,43.0
172,Denver Broncos,DEN,DST,2,10,10.0,43.0
173,T.J. Hockenson,MIN,TE,22,10,6.0,-7.0
174,Stefon Diggs,FA,WR,68,10,,-40.0
175,Seattle Seahawks,SEA,DST,3,10,11.0,38.0
176,Ryan Flournoy,DAL,WR,69,10,14.0,-14.0
177,Los Angeles Rams,LAR,DST,4,10,11.0,27.0
178,Emanuel Wilson,SEA,RB,57,10,11.0,31.0
179,Deebo Samuel Sr.,FA,WR,70,10,,-14.0
180,Philadelphia Eagles,PHI,DST,5,10,10.0,43.0
181,Emmett Johnson,KC,RB,58,10,5.0,-3.0
182,Kimani Vidal,LAC,RB,59,10,7.0,11.0
183,Calvin Ridley,TEN,WR,71,10,9.0,6.0
184,Jaylin Noel,HOU,WR,72,10,8.0,58.0
185,Jacoby Brissett,ARI,QB,27,10,14.0,-8.0
186,Isaac TeSlaa,DET,WR,73,10,6.0,-19.0
187,Minnesota Vikings,MIN,DST,6,10,6.0,42.0
188,Kenyon Sadiq,NYJ,TE,23,10,13.0,-28.0
189,New England Patriots,NE,DST,7,10,11.0,33.0
190,Darnell Mooney,NYG,WR,74,10,8.0,8.0
191,Brandon Aubrey,DAL,K,1,10,14.0,
192,Brandon Aiyuk,SF,WR,75,10,8.0,0.0
193,Jacksonville Jaguars,JAC,DST,8,10,7.0,32.0
194,Pittsburgh Steelers,PIT,DST,9,11,9.0,34.0
195,AJ Barner,SEA,TE,24,11,11.0,-11.0
196,Pat Bryant,DEN,WR,76,11,10.0,44.0
197,Ray Davis,BUF,RB,60,11,7.0,-11.0
198,Mike Washington Jr.,LV,RB,61,11,13.0,-8.0
199,Ka'imi Fairbairn,HOU,K,2,11,8.0,
200,Los Angeles Chargers,LAC,DST,10,11,7.0,32.0
201,Cameron Dicker,LAC,K,3,11,7.0,
202,Cam Little,JAC,K,4,11,7.0,
203,Chimere Dike,TEN,WR,77,11,9.0,118.0
204,Jason Myers,SEA,K,5,11,11.0,
205,Sean Tucker,TB,RB,62,11,10.0,-22.0
206,Dontayvion Wicks,PHI,WR,78,11,10.0,2.0
207,Gunnar Helm,TEN,TE,25,11,9.0,-22.0
208,Malik Washington,MIA,WR,79,11,6.0,-29.0
209,Green Bay Packers,GB,DST,11,11,11.0,35.0
210,Jalen Nailor,LV,WR,80,11,13.0,-58.0
211,Antonio Williams,WAS,WR,81,11,7.0,-39.0
212,Eddy Pineiro,SF,K,6,11,8.0,
213,Tyler Loop,BAL,K,7,11,13.0,
214,Baltimore Ravens,BAL,DST,12,11,13.0,20.0
215,Kansas City Chiefs,KC,DST,13,11,5.0,39.0
216,Nicholas Singleton,TEN,RB,63,11,9.0,-20.0
217,Evan McPherson,CIN,K,8,11,6.0,
218,Cleveland Browns,CLE,DST,14,11,11.0,20.0
219,Jaylen Wright,MIA,RB,64,11,6.0,5.0
220,Cairo Santos,CHI,K,9,11,10.0,
221,Andy Borregales,NE,K,10,11,11.0,
222,De'Zhaun Stribling,SF,WR,82,11,8.0,-21.0
223,Detroit Lions,DET,DST,15,11,6.0,27.0
224,Geno Smith,NYJ,QB,28,11,13.0,-44.0
225,Elic Ayomanor,TEN,WR,83,11,9.0,72.0
226,Cooper Kupp,SEA,WR,84,11,11.0,-9.0
227,David Njoku,LAC,TE,26,11,7.0,-16.0
228,Kaytron Allen,WAS,RB,65,11,7.0,-47.0
229,Tank Dell,HOU,WR,85,11,8.0,-29.0
230,Germie Bernard,PIT,WR,86,11,9.0,-20.0
231,Chase McLaughlin,TB,K,11,11,10.0,
232,Terrance Ferguson,LAR,TE,27,11,11.0,-27.0
233,Jake Bates,DET,K,12,11,6.0,
234,Rashod Bateman,BAL,WR,87,11,13.0,21.0
235,Buffalo Bills,BUF,DST,16,11,7.0,11.0
236,Aaron Rodgers,PIT,QB,29,11,9.0,-67.0
237,Cade Otton,TB,TE,28,11,10.0,-46.0
238,Ted Hurst III,TB,WR,88,11,10.0,-1.0
239,Pat Freiermuth,PIT,TE,29,11,9.0,-44.0
240,Tyreek Hill,FA,WR,89,11,,-9.0
241,Fernando Mendoza,LV,QB,30,11,13.0,-67.0
242,Justice Hill,BAL,RB,66,11,13.0,-22.0
243,Ollie Gordon II,MIA,RB,67,11,6.0,71.0
244,Zachariah Branch,ATL,WR,90,11,11.0,-56.0
245,Harrison Mevis,LAR,K,13,12,11.0,
246,Jack Bech,LV,WR,91,12,13.0,147.0
247,Colby Parkinson,LAR,TE,30,12,11.0,-28.0
248,Harrison Butker,KC,K,14,12,5.0,
249,Keon Coleman,BUF,WR,92,12,7.0,-8.0
250,Evan Engram,DEN,TE,31,12,10.0,3.0
251,Chris Bell,MIA,WR,93,12,6.0,0.0
252,Chris Boswell,PIT,K,15,12,9.0,
253,Christian Kirk,SF,WR,94,12,8.0,-47.0
254,Theo Johnson,NYG,TE,32,12,8.0,66.0
255,Mason Taylor,NYJ,TE,33,12,13.0,32.0
256,Devin Neal,NO,RB,68,12,8.0,144.0
257,Elijah Sarratt,BAL,WR,95,12,13.0,-8.0
258,Ty Johnson,BUF,RB,69,12,7.0,18.0
259,MarShawn Lloyd,GB,RB,70,12,11.0,-56.0
260,Eli Stowers,PHI,TE,34,12,10.0,-34.0
261,Malachi Fields,NYG,WR,96,12,8.0,10.0
262,Tory Horton,SEA,WR,97,12,11.0,-2.0
263,Michael Penix Jr.,ATL,QB,31,12,11.0,-36.0
264,Isaiah Davis,NYJ,RB,71,12,13.0,131.0
265,Jaydon Blue,DAL,RB,72,12,14.0,-68.0
266,Trey Benson,ARI,RB,73,12,14.0,124.0
267,Chris Brooks,GB,RB,74,12,11.0,22.0
268,DJ Giddens,IND,RB,75,12,13.0,-6.0
269,Marvin Mims Jr.,DEN,WR,98,12,10.0,139.0
270,Tua Tagovailoa,ATL,QB,32,12,11.0,-76.0
271,Darius Slayton,NYG,WR,99,12,8.0,47.0
272,Kaleb Johnson,PIT,RB,76,12,9.0,124.0
273,Mack Hollins,NE,WR,100,12,11.0,119.0
274,Jordan James,SF,RB,77,12,8.0,-72.0
275,Samaje Perine,CIN,RB,78,12,6.0,-30.0
276,Xavier Legette,CAR,WR,101,12,5.0,133.0
277,Chris Brazzell II,CAR,WR,102,12,5.0,-8.0
278,George Holani,SEA,RB,79,12,11.0,-62.0
279,Seth McGowan,IND,RB,80,12,13.0,104.0
280,Demond Claiborne,MIN,RB,81,12,6.0,-73.0
